Bromoviridae	Virgaviridae	Saccharomycetaceae	Malasseziaceae	Moraxellaceae	Pseudomonadaceae	Enterobacteriaceae	Rhodospirillaceae	Comamonadaceae	Sutterellaceae	Desulfovibrionaceae	Akkermansiaceae	Staphylococcaceae	Streptococcaceae	Lactobacillaceae	Leuconostocaceae	Clostridiaceae	Lachnospiraceae	Eubacteriaceae	Oscillospiraceae	Ruminococcaceae	Candidatus Borkfalkiaceae	Erysipelotrichaceae	Selenomonadaceae	Acidaminococcaceae	Veillonellaceae	Bifidobacteriaceae	Micrococcaceae	Corynebacteriaceae	Propionibacteriaceae	Coriobacteriaceae	Atopobiaceae	Eggerthellaceae	Bacteroidaceae	Rikenellaceae	Prevotellaceae	Odoribacteraceae	Barnesiellaceae	Tannerellaceae
D07-ZF-R2	-12.2725	-3.4331	-7.6131	-2.0069	-3.4106	-1.5295	-0.2097	9.7345	-2.7202	2.2006	1.2167	-4.9711	-3.0946	-0.7143	-1.6891	-4.9419	4.5562	6.5501	3.126	5.0976	9.4515	-8.2232	1.9513	-2.9141	-0.3613	-2.3634	1.5781	-2.6025	-2.9376	-0.3671	-1.9258	-3.0871	3.1067	6.6102	7.2981	-0.8535	3.8934	3.169	4.7021
D07-ZF-R3	-11.7402	-4.225	-5.0288	-6.5881	-3.017	-1.0737	0.0434	9.2246	-3.0427	2.7074	1.3625	-4.5858	-3.8544	-0.2145	-1.6006	-8.3601	5.1858	7.0073	3.0086	5.6476	9.6915	-7.344	2.4067	-2.7404	0.1207	-1.723	1.781	-2.5703	-3.4807	-4.363	-1.595	-2.5437	2.9041	7.3133	8.1681	-0.6351	4.0843	4.2112	5.4577
D07-ZH-R1	-7.8981	-4.5295	-4.4877	0.2064	-2.1076	-0.1822	1.1967	8.393	-0.3225	3.0081	2.3485	-4.1943	2.0118	-0.6123	-3.0052	-0.243	2.405	3.4357	1.4678	3.3786	6.8799	-7.2929	-1.8128	-5.0776	-3.5766	-3.7087	-1.1135	-1.3175	-0.8537	2.5618	-4.3497	-5.913	-1.5932	7.7247	7.1379	-1.2079	3.8877	3.794	5.5619
D07-ZH-R2	-9.2669	-4.2372	-2.0527	0.2339	-0.9494	1.2877	1.2769	8.2001	-0.0143	2.654	2.1721	-4.3808	0.4824	-1.2903	-2.8767	-3.4655	2.7547	4.0511	1.0877	3.9819	7.1483	-10.1927	-0.7531	-5.3927	-1.4139	-4.4206	-0.3114	-2.3644	-1.4124	1.2648	-4.3725	-5.1106	0.4088	7.4677	7.6018	-1.2749	4.4464	3.7815	5.251
D07-ZH-R3	-12.2561	-3.3237	-2.9914	-1.7972	-1.9123	0.8912	1.2028	8.6669	-0.0975	4.1901	2.9889	-2.8535	-0.0411	-1.3368	-2.3616	-6.1777	3.0047	4.2353	1.4863	4.3617	7.5839	-8.5495	-0.1826	-4.2727	-2.6132	-3.9166	-0.1389	-3.3685	-2.7461	-0.621	-4.1411	-5.694	-0.2337	8.6608	8.4123	-0.5176	4.8055	5.1019	6.5522
D07-ZR-R1	-9.3276	-2.2014	-5.9098	-3.2947	-3.1767	-2.4122	-0.4548	11.195	-3.2473	2.0383	1.0201	-4.179	-2.2369	-1.5039	-1.6533	-3.9007	4.3922	5.9187	2.7916	4.7448	8.3919	-8.2757	1.1862	-3.8163	-0.3131	-2.6377	0.1386	-3.713	-3.9807	-0.8044	-2.7568	-4.6989	3.3306	7.7485	8.7875	-0.7576	3.8912	4.3121	5.3651
D07-ZR-R2	-10.4768	-4.1514	-4.9515	-2.2962	-2.9408	-0.1866	0.7051	9.6839	-2.3267	2.2398	2.1185	-5.1783	-2.2826	-1.6748	-2.4407	-5.634	4.0403	5.5782	2.083	5.5172	8.8809	-8.1311	1.1736	-3.2293	-0.3216	-2.3041	1.099	-2.8755	-3.1014	-0.7424	-2.3873	-3.1505	2.335	6.9325	7.9079	-0.9955	3.3943	3.2354	4.8544
D07-ZR-R3	-10.8205	-2.6293	-2.6882	-4.2277	-2.73	-0.7533	0.4489	10.8833	-2.2573	2.048	2.2827	-4.5811	-1.9796	-1.0223	-1.7036	-7.8147	4.654	6.4622	3.0739	4.8194	9.5002	-8.774	1.8657	-4.0478	-1.5437	-3.7196	0.6376	-3.8178	-4.1873	-2.4594	-2.3419	-4.425	2.8119	7.9186	8.0625	-0.705	3.8327	3.909	6.0187
D08-NF-R1	-7.7912	9.2296	-4.1115	0.3435	-2.9039	-0.6978	0.9336	-3.64	-0.1651	2.5478	1.999	-4.8494	1.3329	0.4522	-4.4018	-0.35	5.371	6.2777	2.9176	3.1172	7.1253	-2.8326	-2.4201	-4.1986	-0.9677	-2.2231	1.6017	-1.4072	-1.1046	2.6568	2.1095	-2.5005	1.0288	5.7974	4.9022	-2.2274	0.6908	-11.8143	0.1727
D08-NF-R2	-10.4136	7.1318	-3.5246	0.0317	-2.9883	-1.3129	0.986	-3.8717	-1.1025	5.0559	3.425	-4.5857	-0.358	0.4259	-5.0256	-2.5052	5.5963	5.9153	3.3446	3.7943	8.3003	-6.7685	-1.3138	-3.1129	1.4811	-2.8474	1.1974	-2.1123	-2.4547	1.0166	3.5186	-2.8271	1.6009	6.4614	5.446	-0.9158	1.1882	-10.5879	2.7111
D08-NF-R3	-6.992	10.2411	-2.8519	-3.1034	-2.4227	-0.8235	1.0338	-3.2737	-1.4058	3.9333	3.1544	-4.0945	1.635	0.4569	-4.7571	-4.3672	5.7773	5.9609	2.8773	4.2588	8.1249	-6.6256	-0.7108	-3.4702	0.2179	-2.9874	0.9947	-2.2726	-3.7375	-0.7306	2.7226	-2.5083	1.7129	6.6967	5.8827	-1.8585	1.6461	-10.0857	1.7516
D08-OF-R1	-8.2289	8.965	-4.0803	-3.3363	-3.0594	-2.0952	0.0115	-4.1403	-2.9914	2.8353	1.5485	-3.2382	0.1522	2.4583	-4.8752	-2.0404	5.0099	4.8377	2.1473	4.3028	7.9492	-5.4142	0.1875	-3.983	1.6365	-3.141	-0.0835	-3.2998	-4.1754	-0.7646	2.3916	-3.779	2.3613	8.546	7.5724	-1.3629	4.5276	-7.4737	4.122
D08-OF-R2	-10.5922	7.3964	-4.7334	-1.0629	-3.2837	-1.8793	0.6156	-4.2222	-2.1721	3.436	1.7363	-3.5672	-1.0114	0.3063	-4.8774	-2.8627	4.5054	4.814	1.9697	4.0009	8.0461	-5.283	0.2616	-3.9568	1.6809	-2.9892	-0.2712	-3.2799	-3.2234	0.0174	2.0111	-3.8596	2.4922	9.0381	7.6917	-0.5549	4.8622	-5.8947	4.6951
D08-OF-R3	-7.5409	8.802	-3.9564	-4.9958	-3.3201	-2.0347	0.5424	-4.2558	-2.8613	2.8469	2.5044	-3.7273	-0.0255	1.9644	-5.1484	-3.2932	5.6333	5.0835	2.2794	4.3344	8.18	-5.6296	0.6076	-3.9354	1.7975	-3.2088	1.1834	-3.3444	-4.6455	-1.7967	3.2485	-3.3269	2.7678	8.3042	7.3689	-1.5593	4.0413	-7.1362	4.2523
D08-OR-R1	-6.3846	5.4536	-3.0551	1.1479	-1.9525	-0.7081	1.1174	-4.7589	0.4535	4.6219	3.1161	-3.8207	1.6737	-0.1059	-3.6221	0.7077	4.9652	6.3049	1.0816	2.9229	4.831	-7.582	-2.7326	-3.9263	-0.9277	-2.5619	-0.2221	-0.5845	0.3333	3.3306	0.9981	-4.9644	-1.0078	5.6066	7.0609	-1.4697	0.323	-8.8314	3.1683
D08-OR-R2	-7.9675	5.0527	-3.1455	2.0439	-1.7319	0.2442	1.821	-3.74	0.6612	4.0308	2.5349	-3.0775	0.8691	-0.2827	-2.8603	-0.1573	4.337	4.4426	1.4403	2.6365	5.1857	-6.6507	-2.8468	-4.1302	-1.3853	-3.0258	0.1016	-0.4493	-0.3691	2.903	1.8268	-4.8659	0.1534	5.2039	7.0636	-0.4947	0.3975	-8.024	2.2545
D08-OR-R3	-7.0296	5.4575	-2.6429	3.7108	0.2423	1.1027	2.3094	-4.1411	1.186	3.6477	3.1049	-2.9658	2.305	0.5107	-3.2195	-0.1705	4.4589	4.6474	-0.1426	3.0029	4.2382	-9.3459	-3.4765	-4.4579	-2.7072	-3.2494	-1.1446	-0.1831	1.742	3.9032	-0.1668	-4.0005	-0.4928	5.6137	7.4291	-0.8641	0.1097	-10.9914	2.6703
D08-ZF-R1	-9.3509	5.434	-5.9041	-3.2015	-4.6962	-1.7871	-0.1271	-3.3637	-1.911	2.9633	2.7858	-3.339	-2.4345	-1.0039	-4.8245	-2.9019	5.3947	6.2043	2.4916	3.0788	8.5562	-4.0144	0.9761	-2.9102	1.8041	-1.9681	1.0973	-3.1793	-3.5034	-0.1416	3.0792	-2.6182	1.8787	8.7635	7.149	-0.9454	4.3085	-6.8979	5.0584
D08-ZF-R2	-9.66	4.8862	-7.0165	-2.683	-4.4883	-1.6527	0.0085	-3.2174	-1.8874	2.4234	2.5166	-3.2334	-3.2631	-1.0658	-4.4191	-3.5251	6.1924	6.6447	3.0964	3.4422	8.6139	-4.5483	1.0099	-2.6982	2.5774	-1.8229	0.4896	-2.7801	-3.5028	-0.3726	2.8337	-2.0456	2.5572	8.0673	6.7754	-0.5203	3.7364	-5.7231	4.2544
D08-ZF-R3	-8.495	6.7736	-5.1902	-1.0998	-3.7433	-2.1611	0.3858	-4.3818	-2.6753	3.2863	2.2541	-3.4476	-1.4852	-2.0831	-5.2082	-3.0421	5.0397	5.135	1.3924	3.1522	7.494	-2.9707	0.0289	-3.2617	2.4158	-2.8969	-0.9586	-3.3451	-2.8286	-0.3409	1.8942	-3.2695	0.7821	9.511	8.6632	-0.2347	5.5905	-6.4929	5.8136
D08-ZH-R1	-7.0205	3.1038	-6.4525	1.5837	-1.3022	-0.2658	1.4239	-4.9723	0.6003	4.2242	3.0851	-3.1952	2.5881	0.2255	-3.8117	1.0019	3.9209	2.5352	2.0579	2.1069	5.8308	-8.2476	-2.1795	-3.7344	1.7473	-3.0854	-0.8335	-0.2803	0.3487	3.5217	-1.9111	-5.3043	-2.757	8.8032	7.387	-0.9283	3.8713	-9.0525	5.3667
D08-ZH-R2	-7.9191	4.174	-1.1237	1.3969	-1.339	1.9171	2.8708	-3.7431	0.831	4.304	3.2209	-2.3145	1.668	-1.3262	-4.0473	-1.4711	3.7406	2.8265	1.0493	2.4607	5.5651	-6.2209	-2.5654	-4.9866	1.8448	-4.341	-2.2406	-1.816	-0.4865	2.3838	-1.197	-6.5614	-2.4358	8.8681	7.6277	-0.9858	4.0494	-9.3499	5.672
D08-ZH-R3	-5.5582	4.8889	-4.9628	0.1064	-1.9082	-1.1083	1.5637	-5.1689	-2.3562	4.9621	3.8035	-1.7855	0.1639	-1.2959	-4.9516	-1.6756	4.3834	3.5096	2.0747	3.451	6.5281	-5.6869	-1.4428	-4.7205	2.6341	-4.3888	-3.0045	-3.2787	-1.9648	0.4824	-0.3708	-4.7752	-1.0316	9.5868	8.4235	-0.6123	4.6707	-5.3195	6.1349
D08-ZR-R1	-8.0322	6.143	-5.7319	-4.8401	-4.6786	-2.0411	-0.1916	-3.7123	-2.3935	5.1397	2.6059	-2.4792	-2.3975	-1.7406	-4.5095	-3.257	5.9105	5.8252	2.5987	3.6904	7.9185	-4.001	0.3882	-3.0988	2.1484	-2.5212	-0.1694	-3.0962	-4.4704	-0.6739	2.2997	-2.3535	2.111	8.4849	7.4811	-0.4661	5.4169	-6.9291	5.6228
D08-ZR-R2	-8.9531	5.921	-3.8884	-3.6585	-4.0441	-1.4049	0.9459	-4.2694	-2.6469	6.2404	3.172	-1.8202	-0.5277	-2.7044	-4.0123	-2.7126	5.1878	4.9211	1.9664	3.0681	7.0552	-3.4638	-0.6595	-3.6645	1.907	-3.4056	-1.9484	-3.4094	-4.3238	-1.2119	0.1504	-2.8941	1.4102	9.2202	8.213	-0.0499	5.8494	-5.7623	6.2075
D08-ZR-R3	-7.2294	8.1519	-4.9497	-1.5801	-3.566	-2.3491	0.6337	-4.62	-3.2042	3.4471	3.3178	-3.0604	-0.2444	-1.2594	-5.32	-3.3794	4.4958	5.1169	2.0439	2.8384	7.0203	-2.8033	0.2466	-3.631	1.2719	-3.006	-1.2492	-3.5863	-3.405	-0.8769	2.166	-3.2494	1.8106	9.2192	7.5512	-0.5633	4.4097	-6.2795	5.6711
D09-NF-R1	-8.7411	8.354	-4.899	-2.2261	-1.443	1.1137	0.7635	-4.0837	-2.7215	3.7006	2.4385	-4.6626	-0.763	-1.2578	-5.7872	-2.8587	5.0827	4.6414	1.7358	5.2933	7.021	-8.0093	-0.8905	-2.0382	2.1277	-1.1162	2.3779	-3.1372	-3.1868	0.0581	2.9396	-4.5866	0.8398	6.2504	4.652	-1.5899	3.8914	-1.9376	2.6548
D09-NF-R2	-8.7812	8.2734	-3.2946	-2.2104	-1.2304	1.5781	1.2244	-4.263	-2.5973	3.9265	1.8694	-4.7922	-0.178	-0.7978	-4.9207	-5.9721	5.3565	4.4646	1.8599	5.5327	7.032	-8.7463	-0.9221	-1.5449	2.1346	0.3492	2.7246	-3.7163	-3.7571	-1.0908	3.0068	-4.8924	0.6846	5.9924	4.6951	-1.8062	3.9077	-1.7464	2.6478
D09-NF-R3	-8.47	11.6858	-1.5024	-2.5852	-0.6163	0.103	1.6161	-4.8058	-4.7376	3.1875	1.7986	-4.492	2.4845	-1.3342	-4.9121	-6.4226	5.3609	5.1919	2.2811	5.8269	7.26	-8.9603	-0.521	-2.3328	1.6044	-1.0664	2.3425	-2.7255	-4.3122	-2.1759	2.2253	-5.3926	1.4421	5.7902	4.6229	-2.0271	3.7458	-1.5225	2.3452
D09-OF-R1	-8.1904	9.2739	-3.355	-4.3906	0.416	3.0265	2.1933	-5.2962	-4.8197	6.9172	1.2401	-4.0382	0.0485	-0.1219	-5.9439	-4.6323	4.192	4.436	1.4589	4.5745	6.181	-6.7858	-0.6944	-3.6434	1.1121	-1.3367	0.6591	-4.2498	-5.5557	-2.1907	1.983	-5.4629	2.1389	7.841	5.9544	-1.1156	4.1408	0.2282	3.808
D09-OF-R2	-8.4934	8.5963	-4.5235	-1.7078	-0.8678	1.7384	1.7312	-5.0714	-2.8656	6.5084	1.1714	-5.3636	0.3569	-0.2903	-5.7057	-4.3705	4.5367	4.8406	2.5013	3.9553	5.9442	-8.4689	-1.2267	-2.2601	-0.3386	-1.6956	1.8063	-3.6954	-4.0693	-0.8069	2.7279	-5.3501	3.072	7.4469	3.9082	-1.7931	5.6827	0.1997	2.2399
D09-OF-R3	-8.3031	9.2357	-4.0843	-4.9613	0.3344	2.8013	2.3544	-4.8335	-3.9975	6.5977	1.5104	-4.2067	0.1397	-0.7508	-5.9049	-7.8934	4.2901	4.5667	2.1223	4.9007	6.4964	-7.9162	-0.4927	-3.6029	1.7011	-1.8515	1.4695	-4.2932	-5.8875	-3.2287	2.395	-4.7873	2.4895	7.7899	6.2288	-0.7017	4.7485	0.9306	4.5946
D09-OR-R1	-3.689	8.4883	-2.7238	1.0538	-0.5962	1.1417	1.4407	-5.3389	0.6302	4.2809	2.3779	-4.8976	2.687	-0.409	-4.223	0.3995	3.1187	3.3156	1.6887	2.584	3.3913	-8.6433	-1.4597	-4.2929	-2.4517	-3.1063	0.1157	-0.9857	-0.1834	3.1578	-1.6103	-6.6728	-1.9353	5.9936	5.5508	-1.1242	2.1623	-2.2628	3.0275
D09-OR-R2	-5.04	7.4059	-3.9239	2.7356	1.8567	1.3162	2.6872	-2.2595	1.0682	2.9319	1.966	-4.1849	2.3461	-0.8219	-2.0228	-0.2105	2.0866	2.4976	0.2344	1.3271	2.9358	-7.5259	-3.3714	-3.0776	-4.0558	-2.8476	0.3853	-0.5666	0.7522	3.7394	-1.251	-6.1132	-2.0517	4.7777	4.7213	0.4485	1.4248	-2.1368	1.8165
D09-OR-R3	-4.1416	8.2318	-0.6288	-1.2917	-1.1609	1.6993	1.7658	-3.9903	0.1529	5.0204	2.6511	-4.8281	2.1061	-2.0901	-6.1813	-5.6878	3.8555	3.8117	1.8185	3.9339	4.6424	-6.9943	-1.764	-3.2011	-0.7189	-2.8132	2.2488	-2.9645	-2.704	0.1008	1.2202	-5.2861	-1.0735	6.0963	5.9624	-1.7084	2.1665	-1.9637	3.7081
D09-ZF-R1	-7.3844	8.7209	-3.7922	-3.9131	0.3561	3.4989	1.9663	-5.9001	-4.1938	7.6581	1.5277	-4.487	-0.1111	-2.2497	-5.303	-4.8011	4.493	4.6484	2.1833	4.0411	6.2936	-5.7166	-0.5898	-3.4256	-0.633	-1.6351	1.9464	-4.5913	-5.5551	-2.2602	1.9864	-5.6716	0.7434	8.2193	5.1559	-0.735	4.195	0.6178	4.6973
D09-ZF-R2	-7.6395	8.4055	-4.2061	-1.6171	-0.1786	2.8567	2.8039	-5.0551	-3.8113	6.8271	0.9534	-4.6434	0.1365	-2.3877	-4.2751	-5.1556	4.1772	4.1989	2.0442	4.1908	6.1205	-6.3195	-0.3449	-3.2527	-1.036	-1.4767	1.2618	-4.4149	-3.2526	-0.4399	2.0889	-5.9073	1.1221	7.2864	4.1232	-1.0556	3.3275	0.3801	4.1647
D09-ZF-R3	-7.8566	8.9812	-3.1703	-5.1976	0.4523	3.3433	2.6805	-4.8618	-3.8993	7.3668	1.4104	-4.6518	0.3374	-2.0065	-4.9421	-8.529	4.6991	4.4773	2.1747	4.5477	6.2006	-5.5945	-0.3095	-3.6178	8e-04	-1.7659	1.4269	-4.2176	-5.5033	-2.7785	1.9423	-4.8653	1.1048	7.9294	5.2916	-0.6033	4.2334	0.7327	5.0372
D09-ZH-R1	-10.9126	7.9966	-4.9353	0.5216	0.6911	2.7873	2.9627	-4.3043	-0.1735	6.278	2.3002	-4.7957	1.9171	-1.0406	-5.2204	0.0132	3.0816	2.8834	1.1574	1.6648	4.9378	-6.526	-3.0707	-3.6063	-0.6749	-1.9687	0.078	-1.186	-0.6573	2.6141	-2.6811	-7.786	-4.2541	7.8478	5.3285	-0.7267	4.6697	0.1752	4.614
D09-ZH-R2	-10.0198	6.0152	-0.8225	1.7003	-0.8245	2.92	3.1397	-1.7825	1.0155	5.3697	1.5807	-4.0788	1.89	-1.7421	-4.4383	-2.3697	2.7316	2.2972	0.1295	1.4643	4.6832	-7.1923	-2.7872	-3.5093	-1.3115	-2.4246	0.0318	-1.6479	-0.4788	2.5822	-2.1724	-6.7188	-3.0432	7.2321	5.2644	-0.9005	4.8894	-0.6228	3.9505
D09-ZH-R3	-12.2036	4.8737	-1.5252	-0.5312	-0.2363	2.4809	2.7804	-3.6361	0.7878	6.8411	2.8185	-4.7123	1.2091	-2.781	-4.9806	-5.6015	3.456	2.8584	0.8104	3.2769	5.6434	-5.3901	-2.3479	-3.1924	-0.408	-2.6005	1.2975	-1.9172	-1.6507	0.5594	0.2701	-6.8024	-1.3841	7.6083	6.0443	-0.9598	4.3538	0.4065	4.4843
D09-ZR-R2	-8.1197	8.148	-4.0937	-3.9105	-0.2373	3.4213	2.3134	-5.0717	-4.4017	7.232	2.5831	-4.8842	-0.5519	-1.9673	-4.9021	-6.7198	4.4598	4.9092	2.2871	4.0799	6.2921	-6.0399	-0.7444	-2.6141	0.2431	-2.1071	2.2323	-4.5165	-5.1338	-2.2835	2.7786	-4.8944	1.2606	7.8543	5.0925	-0.9642	3.5842	0.5523	4.8339
D09-ZR-R3	-7.4083	8.8485	-3.8872	-5.2519	0.4164	3.373	3.2585	-5.4604	-4.1968	8.0782	2.6389	-4.6193	0.5097	-2.3476	-4.5128	-8.768	4.1076	4.6326	2.1579	3.9815	5.8093	-5.5995	-0.6759	-3.7186	0.1385	-2.412	1.8155	-4.8504	-5.6922	-3.4973	2.1549	-4.4092	1.0891	8.3976	5.3629	-0.3722	4.3611	1.3349	5.2134
D10-NF-R1	-10.3237	1.5547	-6.2671	-0.2049	-2.6797	-0.0166	2.2139	-3.9383	-0.5407	-4.8466	-2.1717	-1.8315	-0.5528	-1.3721	-2.7651	-0.0508	7.246	7.8946	1.8472	5.0497	7.1158	-5.9513	0.0947	-1.9343	1.6815	-3.1333	0.2902	-1.7961	-1.9034	1.5469	5.541	-3.5435	1.6034	7.1422	4.3684	1.6194	-0.7773	-2.2867	2.0781
D10-NF-R2	-11.0107	3.5542	-1.2875	0.692	-0.7017	1.391	1.9848	-3.6458	0.164	-1.552	-1.5777	-2.7678	0.4041	-2.2518	-4.1583	-3.1662	4.9596	5.8335	0.524	2.7151	6.0342	0.3908	-1.1396	-3.5854	-0.9847	0.3767	-1.5591	-2.3714	-0.9512	1.6742	2.5734	-3.9545	-0.6665	5.8686	7.2638	-0.6649	1.7058	-3.4029	3.2898
D10-NF-R3	-10.2878	-6.2193	-3.0489	4.37	0.7163	2.2707	4.3152	-3.0275	1.9118	-6.3625	-4.1245	-4.5399	2.6247	1.0694	-1.778	0.4449	6.0898	7.3933	1.9112	4.4129	6.4184	-10.2544	-1.1826	-3.4351	0.0677	-2.5951	-0.4	0.8879	2.2873	4.5865	4.4064	-3.322	0.4187	5.7789	3.9437	0.0979	-2.4236	-2.9648	-0.4578
D10-OF-R1	-10.427	-1.8132	-1.6016	2.2016	-0.3379	0.8574	2.2274	-4.9524	1.2127	-0.9855	-0.7514	0.3286	2.0212	0.6941	-1.9943	1.5853	2.7865	4.431	0.7733	0.8911	4.8853	-4.4898	-1.0559	-2.9443	-3.2088	-0.8222	1.1905	2.2012	1.0533	4.1573	-0.0292	-4.8137	-0.8614	4.8426	3.5658	0.2366	-0.6302	-2.7075	2.2834
D10-OF-R2	-8.1779	-3.4808	-6.7148	-0.0834	-0.7398	-2.0104	3.0062	-4.5104	-1.7753	-5.8981	-5.0866	-6.4842	-0.3075	2.1298	-0.2186	-2.8385	6.0399	6.6747	2.976	4.2796	6.4105	-11.7467	1.0286	-0.5743	2.5235	-3.5021	0.1579	-3.0881	-2.4824	0.3883	6.2872	-3.3239	3.5065	9.8297	6.1733	2.6554	2.6281	1.5841	4.7645
D10-OF-R3	-7.7039	-5.6272	-4.392	0.7358	-1.0907	-1.1098	2.524	-5.391	-2.1227	-5.8276	-5.5034	-5.618	-0.2555	0.9548	-1.2668	-3.4162	6.5249	6.5088	2.326	5.0554	6.2757	-11.0108	-0.1127	-0.064	2.2671	-3.9835	-0.1502	-2.9414	-1.4587	0.9332	5.5936	-3.4738	3.3458	9.8681	6.397	3.1913	2.7464	2.2996	4.9724
D10-ZF-R1	-9.4825	-6.4054	-5.2555	-2.3533	-2.4037	-1.8786	2.3961	-3.6299	-1.982	-4.6391	-3.889	-3.2175	-2.0165	1.0526	-1.0742	-3.0918	6.1457	6.752	3.1312	4.6949	7.1453	-8.2117	2.4893	-0.0412	2.925	-2.5889	0.0505	-3.1258	-4.032	-0.6083	6.8785	-1.9079	2.6325	9.0973	6.0891	2.5743	1.8975	1.7851	4.0976
D10-ZF-R2	-10.4221	-0.1666	-4.2266	-1.6893	-1.7982	-2.572	1.974	-4.8624	-2.2896	-5.4631	-3.9198	-5.2435	-1.5947	1.4914	-0.9399	-4.222	6.1893	7.0978	3.3699	4.3839	6.9892	-8.9651	2.8363	0.3628	3.705	-3.2132	0.0617	-3.5723	-3.7205	-0.8535	6.7459	-2.4388	2.6164	8.9972	6.1383	2.1269	1.9143	1.2995	3.8736
D10-ZF-R3	-7.5334	-6.9936	-4.2526	-5.2158	-2.2259	-2.1194	2.0182	-4.2086	-2.5673	-6.3395	-3.9351	-5.408	-1.8856	1.8797	-0.2577	-6.8659	7.0562	7.9641	4.4847	4.8172	7.902	-11.9116	4.1859	1.4906	4.2608	-2.5327	0.4487	-3.6974	-4.5728	-2.6057	7.2787	-1.9132	3.5868	9.9603	6.4212	3.3529	2.71	2.3487	4.8753
D10-ZH-R1	-10.3422	-3.4449	-3.3302	1.3471	1.3097	0.5851	2.1621	-3.4522	0.6234	-6.0375	-6.3147	-5.1268	1.8604	0.1737	-2.331	0.4648	4.3077	5.5012	-1.0938	4.0294	4.1466	-7.6357	-2.7361	-0.3165	1.9165	-3.6995	-1.2819	-0.3879	0.1943	3.4453	0.585	-6.5353	-4.1127	11.3575	6.1711	4.8608	3.3704	3.5915	6.1754
D10-ZH-R2	-8.4876	0.5306	-2.6222	1.601	0.9161	1.3758	2.7008	-3.9798	1.0139	0.024	-3.506	-4.2688	1.2726	-0.8565	-2.7711	-2.426	3.681	4.5513	-0.1481	3.5772	3.6276	-8.491	-3.0677	-1.631	1.4133	-4.0255	-2.2718	-1.555	-0.1519	2.5745	0.1869	-7.5928	-3.3155	10.7247	5.7389	4.1959	3.0453	2.908	5.5088
D10-ZH-R3	-10.2338	-3.1789	0.3544	-0.5744	1.4187	0.9628	2.9394	-4.0367	0.8096	-6.9263	-6.2183	-3.9125	1.1384	-0.8749	-2.1857	-4.6514	5.0045	5.7193	0.2672	4.3875	4.7101	-11.2079	-0.3283	-0.1028	2.6155	-4.0366	-2.7101	-1.7686	-1.7794	0.5102	1.0433	-5.6293	-2.3037	12.1414	7.1821	6.2612	4.2281	4.0908	6.8754
D10-ZR-R1	-9.2493	-2.5268	-5.997	-0.5734	-2.6186	-1.1958	1.3559	-5.0744	-1.2401	-5.6726	-5.2357	-6.5663	-0.1921	-0.1225	-2.405	-1.2471	5.6184	6.6075	1.8679	4.8011	6.1384	-6.3177	1.8104	-1.1243	3.2702	-3.1313	-0.5073	-2.3317	-1.7286	1.5759	6.3236	-3.4049	2.5146	9.3866	6.1154	3.3854	2.2498	1.3292	4.1123
D10-ZR-R2	-9.2508	-4.2302	-6.588	-0.6818	-0.8922	-1.8537	2.1987	-4.4203	-1.8285	-5.8194	-4.854	-5.9257	-1.3514	0.4626	-1.615	-3.7178	5.6704	6.5727	2.8426	4.5258	6.4473	-8.1223	2.385	-0.1971	3.5766	-3.2892	-0.1444	-2.9145	-2.8978	0.0186	6.2839	-2.6249	2.3609	9.6819	6.6516	3.4353	3.2854	2.1777	4.6424
D10-ZR-R3	-8.3833	-6.2545	-4.5688	-4.8141	-1.6426	-1.7317	2.3474	-4.0188	-2.5555	-7.2731	-3.8737	-5.5998	-3.5826	1.8877	-0.1085	-6.9206	7.0471	8.1928	4.5667	5.0319	8.2515	-11.8797	4.49	2.0262	4.4097	-2.5862	1.0445	-3.8145	-4.6458	-3.9087	7.6284	-1.6026	3.8008	9.745	6.1704	4.021	2.6098	1.8934	4.6008
